treffen_id;tandem_id;datum;dauer_minuten;ort;thema;dokumentiert_von;naechster_schritt;teilnahme_jugendliche;teilnahme_mentor;berichtszeitraum;tandem_gebildet_2026;programm_gesamt_tandems_gebildet_2026;treffen_durchgefuehrt;zaehlt_fuer_10_treffen_ziel;kumulierte_durchgefuehrte_treffen_2026;tandem_bisherige_durchgefuehrte_treffen_2026_bis_30_09;zielwert_mindest_treffen_pro_tandem_2026;tandem_geplante_weitere_treffen_bis_31_03_2027;tandem_erwartete_treffen_innerhalb_eines_jahres;ziel_output_90_prozent_tandems_10_treffen_unterstuetzt;karriereschritt_evidenz;karriereschritt_typ;ziel_outcome_80_prozent_karriereschritte_unterstuetzt;jugendliche_mehr_selbstvertrauen_beobachtet;ziel_outcome_100_prozent_mehr_selbstvertrauen_unterstuetzt;jugendliche_selbstwirksamkeit_basiswert_1_5;jugendliche_selbstwirksamkeit_aktueller_wert_1_5;selbstwirksamkeit_verbesserung_prozent;ziel_outcome_selbstwirksamkeit_plus_20_prozent_unterstuetzt;mentor_sozial_eingebunden_beobachtet;mentor_selbstwirksam_beobachtet;ziel_outcome_mentorinnen_sozial_eingebunden_selbstwirksam_unterstuetzt
TR0084;T055;01.06.2026;90;Bibliothek;Ausbildungsmöglichkeiten recherchiert;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;Ausbildungsmoeglichkeiten recherchiert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0085;T056;23.06.2026;45;Jugendzentrum;Schule/Noten;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0086;T057;03.04.2026;;Bibliothek;Ausbildungsmöglichkeiten recherchiert;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0087;T057;09.05.2026;120;Café;Ausbildungsmöglichkeiten recherchiert;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; Ausbildungsmoeglichkeiten recherchiert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0088;T058;20.04.2026;120;Café;Bewerbungsschreiben;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0089;T059;15.04.2026;60;Jugendzentrum;freies Gespräch;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0090;T059;07.05.2026;90;Bibliothek;Zukunftspläne;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; konkrete Zukunftsplaene geklaert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0091;T059;15.06.2026;45;online (Video-Call);Vorbereitung Vorstellungsgespräch;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;2;4;10;6;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0092;T060;17.04.2026;;zuhause bei Mentor:in;Zukunftspläne;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;vorbereitet;konkrete Zukunftsplaene geklaert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0093;T060;18.06.2026;60;Café;Schule/Noten;Jugendliche/r;;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0094;T061;28.04.2026;90;Park;freies Gespräch;Koordination (telefonisch berichtet);;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0095;T061;17.06.2026;;Café;Lebenslauf besprochen;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0096;T062;13.04.2026;45;Jugendzentrum;freies Gespräch;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;nein;nein;3;4;33;ja;ja;ja;ja
TR0097;T062;08.05.2026;60;zuhause bei Mentor:in;Ausbildungsmöglichkeiten recherchiert;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;umgesetzt;"Ausbildungsmoeglichkeiten recherchiert; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0098;T062;10.06.2026;120;Jugendzentrum;Bewerbungsschreiben;Mentor:in;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;3;3;10;7;10;ja;umgesetzt;"Bewerbung erstellt oder versendet; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0099;T063;12.05.2026;;Café;Lebenslauf besprochen;Koordination (telefonisch berichtet);;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;4;10;6;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0100;T063;02.06.2026;60;Bibliothek;Zukunftspläne;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;vorbereitet;"Praktikumssuche oder Praktikumsplatz vorbereitet; konkrete Zukunftsplaene geklaert";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0101;T064;05.04.2026;90;Jugendzentrum;Berufsorientierung allgemein;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Berufsorientierung bearbeitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0102;T064;21.05.2026;120;Jugendzentrum;gemeinsamer Spaziergang;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0103;T064;23.06.2026;90;zuhause bei Mentor:in;Schule/Noten;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;2;2;10;8;10;ja;vorbereitet;Kontakt zu Unternehmen vorbereitet;ja;nein;nein;3;4;33;ja;ja;ja;ja
TR0104;T065;09.04.2026;60;Bibliothek;Vorbereitung Vorstellungsgespräch;Mentor:in;nichts Konkretes vereinbart;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0105;T065;03.05.2026;;zuhause bei Mentor:in;Ausbildungsmöglichkeiten recherchiert;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0106;T065;01.06.2026;;zuhause bei Mentor:in;Bewerbungsschreiben;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0107;T066;12.04.2026;90;online (Video-Call);Bewerbungsschreiben;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0108;T066;31.04.2026;;zuhause bei Mentor:in;Schule/Noten;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0109;T066;05.06.2026;;Jugendzentrum;Praktikumssuche;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0110;T067;26.04.2026;60;Park;freies Gespräch;Mentor:in;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;ja;ja
TR0111;T067;05.05.2026;60;zuhause bei Mentor:in;freies Gespräch;Mentor:in;nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0112;T069;28.04.2026;;online (Video-Call);Lebenslauf besprochen;Mentor:in;nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0113;T069;04.06.2026;;Park;Praktikumssuche;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0114;T070;28.05.2026;;Park;gemeinsamer Spaziergang;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0115;T070;17.06.2026;45;Jugendzentrum;Vorbereitung Vorstellungsgespräch;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0116;T071;01.06.2026;45;Bibliothek;Praktikumssuche;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;"Praktikumssuche oder Praktikumsplatz vorbereitet; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0117;T073;07.06.2026;120;online (Video-Call);Vorbereitung Vorstellungsgespräch;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;umgesetzt;"Praktikumssuche oder Praktikumsplatz vorbereitet; Vorstellungsgespraech vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0118;T074;28.04.2026;;online (Video-Call);freies Gespräch;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0119;T074;24.05.2026;45;Jugendzentrum;Zukunftspläne;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;2;2;10;8;10;ja;vorbereitet;"konkrete Zukunftsplaene geklaert; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0120;T074;20.06.2026;45;Jugendzentrum;Berufsorientierung allgemein;Jugendliche/r;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;2;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0121;T075;09.04.2026;;zuhause bei Mentor:in;gemeinsamer Spaziergang;Koordination (telefonisch berichtet);;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0122;T075;27.06.2026;60;Bibliothek;Praktikumssuche;Mentor:in;nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0123;T080;22.04.2026;45;Bibliothek;Zukunftspläne;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0124;T080;12.05.2026;60;zuhause bei Mentor:in;Praktikumssuche;Mentor:in;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0125;T081;11.04.2026;60;online (Video-Call);Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0126;T081;21.05.2026;60;zuhause bei Mentor:in;gemeinsamer Spaziergang;Koordination (telefonisch berichtet);;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0127;T081;28.06.2026;60;Bibliothek;Zukunftspläne;Koordination (telefonisch berichtet);;ja;ja;April-Juni 2026;ja;130;ja;1;3;3;10;7;10;ja;vorbereitet;konkrete Zukunftsplaene geklaert;ja;ja;ja;3;4;33;ja;ja;nein;nein
TR0128;T082;14.04.2026;120;Bibliothek;gemeinsamer Spaziergang;Mentor:in;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0129;T082;15.05.2026;45;Jugendzentrum;Praktikumssuche;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0130;T082;26.06.2026;120;Jugendzentrum;Berufsorientierung allgemein;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;umgesetzt;"Bewerbung erstellt oder versendet; Berufsorientierung bearbeitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0131;T083;15.04.2026;60;Park;Schule/Noten;Jugendliche/r;;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0132;T083;19.06.2026;60;zuhause bei Mentor:in;gemeinsamer Spaziergang;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0133;T084;07.05.2026;;Bibliothek;gemeinsamer Spaziergang;Mentor:in;Kontakt zu Unternehmen X herstellen;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0134;T084;02.06.2026;60;Café;Schule/Noten;Jugendliche/r;;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0135;T085;01.05.2026;;online (Video-Call);Berufsorientierung allgemein;Jugendliche/r;Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0136;T085;20.06.2026;90;Café;Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0137;T087;15.04.2026;45;Café;Ausbildungsmöglichkeiten recherchiert;Mentor:in;Kontakt zu Unternehmen X herstellen;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0138;T087;19.05.2026;90;Café;Zukunftspläne;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0139;T087;27.06.2026;;Café;Bewerbungsschreiben;Mentor:in;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;"Bewerbung erstellt oder versendet; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0140;T088;22.05.2026;;Park;Ausbildungsmöglichkeiten recherchiert;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0141;T089;15.05.2026;60;online (Video-Call);gemeinsamer Spaziergang;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0142;T090;11.04.2026;60;Bibliothek;Berufsorientierung allgemein;Mentor:in;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; Berufsorientierung bearbeitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0143;T090;17.06.2026;60;Jugendzentrum;Vorbereitung Vorstellungsgespräch;Mentor:in;Kontakt zu Unternehmen X herstellen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0144;T091;12.04.2026;90;Café;Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0145;T091;13.05.2026;;Café;Vorbereitung Vorstellungsgespräch;Mentor:in;;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;1;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0146;T091;01.06.2026;45;zuhause bei Mentor:in;gemeinsamer Spaziergang;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0147;T092;05.04.2026;90;Jugendzentrum;freies Gespräch;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;ja;ja
TR0148;T092;08.05.2026;120;Park;Bewerbungsschreiben;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0149;T093;24.04.2026;90;online (Video-Call);freies Gespräch;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0150;T093;04.05.2026;120;Café;Bewerbungsschreiben;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;2;2;10;8;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0151;T093;07.06.2026;60;Bibliothek;Ausbildungsmöglichkeiten recherchiert;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;nein, verschoben;April-Juni 2026;ja;130;nein;0;2;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0152;T094;01.04.2026;120;online (Video-Call);Berufsorientierung allgemein;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;vorbereitet;"Praktikumssuche oder Praktikumsplatz vorbereitet; Berufsorientierung bearbeitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0153;T094;13.05.2026;60;zuhause bei Mentor:in;Schule/Noten;Mentor:in;;ja;ja;April-Juni 2026;ja;130;ja;1;2;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;3;3;0;nein;ja;nein;nein
TR0154;T095;28.04.2026;60;Café;Vorbereitung Vorstellungsgespräch;Jugendliche/r;Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0155;T095;14.05.2026;60;zuhause bei Mentor:in;Ausbildungsmöglichkeiten recherchiert;Mentor:in;gemeinsam Lebenslauf fertigstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0156;T096;26.06.2026;;Jugendzentrum;Berufsorientierung allgemein;Koordination (telefonisch berichtet);nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;vorbereitet;Berufsorientierung bearbeitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0157;T097;26.05.2026;;Park;Praktikumssuche;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0158;T098;19.04.2026;60;Park;Café-Treffen, offenes Gespräch;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;4;10;6;10;ja;vorbereitet;Praktikumssuche oder Praktikumsplatz vorbereitet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0159;T098;03.05.2026;60;Bibliothek;Lebenslauf besprochen;Jugendliche/r;nichts Konkretes vereinbart;ja;ja;April-Juni 2026;ja;130;ja;1;2;4;10;6;10;ja;umgesetzt;Lebenslauf erstellt oder verbessert;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0160;T098;26.06.2026;60;zuhause bei Mentor:in;Lebenslauf besprochen;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;3;4;10;6;10;ja;umgesetzt;"Lebenslauf erstellt oder verbessert; Bewerbung erstellt oder versendet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0161;T099;10.04.2026;60;Café;Berufsorientierung allgemein;Jugendliche/r;Kontakt zu Unternehmen X herstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;0;10;10;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0162;T100;26.04.2026;90;online (Video-Call);Schule/Noten;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0163;T101;04.06.2026;60;zuhause bei Mentor:in;Vorbereitung Vorstellungsgespräch;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;umgesetzt;"Praktikumssuche oder Praktikumsplatz vorbereitet; Vorstellungsgespraech vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0164;T103;24.05.2026;45;online (Video-Call);Ausbildungsmöglichkeiten recherchiert;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;1;10;9;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0165;T103;02.06.2026;60;Café;gemeinsamer Spaziergang;Jugendliche/r;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;1;10;9;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0166;T104;04.06.2026;60;Park;Zukunftspläne;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;vorbereitet;"konkrete Zukunftsplaene geklaert; Kontakt zu Unternehmen vorbereitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0167;T106;26.05.2026;120;Bibliothek;Berufsorientierung allgemein;Jugendliche/r;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;2;10;8;10;ja;umgesetzt;"Bewerbung erstellt oder versendet; Berufsorientierung bearbeitet";ja;ja;ja;3;4;33;ja;ja;ja;ja
TR0168;T106;04.06.2026;45;Café;gemeinsamer Spaziergang;Mentor:in;Praktikumsplätze recherchieren bis nächstes Mal;nein, abgesagt;nein, verschoben;April-Juni 2026;ja;130;nein;0;1;2;10;8;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0169;T108;03.04.2026;;online (Video-Call);Berufsorientierung allgemein;Mentor:in;;nein, abgesagt;ja;April-Juni 2026;ja;130;nein;0;0;3;10;7;10;ja;keine_evidenz;;nein;nein;nein;;;;nein;nein;nein;nein
TR0170;T108;02.05.2026;90;zuhause bei Mentor:in;Bewerbungsschreiben;Mentor:in;nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja;April-Juni 2026;ja;130;ja;1;1;3;10;7;10;ja;umgesetzt;Bewerbung erstellt oder versendet;ja;ja;ja;3;4;33;ja;ja;ja;ja
