treffen_id;tandem_id;datum;dauer_minuten;ort;thema;dokumentiert_von;naechster_schritt;teilnahme_jugendliche;teilnahme_mentor
TR0188;T120;15.05.2026;45;Jugendzentrum;Vorbereitung Vorstellungsgespräch;Mentor:in;nichts Konkretes vereinbart;ja;nein, verschoben
TR0189;T120;06.06.2026;60;Jugendzentrum;Bewerbungsschreiben;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben
TR0190;T121;04.05.2026;120;zuhause bei Mentor:in;Bewerbungsschreiben;Mentor:in;;ja;ja
TR0191;T123;17.04.2026;60;Park;Praktikumssuche;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja
TR0192;T123;18.06.2026;120;online (Video-Call);Café-Treffen, offenes Gespräch;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja
TR0193;T124;25.05.2026;60;Café;Schule/Noten;Jugendliche/r;;ja;ja
TR0194;T124;18.06.2026;60;Jugendzentrum;Ausbildungsmöglichkeiten recherchiert;Jugendliche/r;Kontakt zu Unternehmen X herstellen;ja;ja
TR0195;T125;31.04.2026;45;Bibliothek;Vorbereitung Vorstellungsgespräch;Jugendliche/r;nichts Konkretes vereinbart;ja;ja
TR0196;T125;14.06.2026;60;Park;Ausbildungsmöglichkeiten recherchiert;Jugendliche/r;;ja;nein, verschoben
TR0197;T126;06.05.2026;60;Bibliothek;Kennenlernen;Jugendliche/r;gemeinsam Lebenslauf fertigstellen;ja;ja
TR0198;T126;09.06.2026;;Bibliothek;Kennenlernen;Koordination (telefonisch berichtet);Kontakt zu Unternehmen X herstellen;ja;ja
TR0199;T127;26.04.2026;;Jugendzentrum;Café-Treffen, offenes Gespräch;Mentor:in;;ja;ja
TR0200;T127;03.06.2026;120;online (Video-Call);freies Gespräch;Jugendliche/r;;ja;nein, verschoben
TR0201;T129;27.06.2026;;Jugendzentrum;Kennenlernen;Jugendliche/r;;ja;ja
TR0202;T130;20.04.2026;;Jugendzentrum;Praktikumssuche;Jugendliche/r;Praktikumsplätze recherchieren bis nächstes Mal;ja;ja
TR0203;T130;17.05.2026;120;Café;gemeinsamer Spaziergang;Koordination (telefonisch berichtet);Praktikumsplätze recherchieren bis nächstes Mal;ja;nein, verschoben
TR0204;T130;15.06.2026;60;zuhause bei Mentor:in;Vorbereitung Vorstellungsgespräch;Koordination (telefonisch berichtet);nächstes Treffen: Bewerbungsunterlagen mitbringen;ja;ja
TR0205;T900;12.05.2026;60;Café;freies Gespräch;Mentor:in;;ja;ja
TR0206;T901;20.05.2026;;Jugendzentrum;Kennenlernen;Jugendliche/r;;ja;ja
